Year,Country,Resettled by destination per capita,Remittances (% GDP),Five-year change immigrants,Refugees by destination,Child migrants (UNICEF),Resettled by origin,Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Five-year change immigrants per capita,Refugees by destination,Resettled by destination,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Five-year change emigrants,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Net migration rate,Remittances cost (to),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),Five-year change emigrants per capita,International emigrants (% population),Refugees by destination (per capita)
1985,Africa Western and Central,,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Africa Western and Central,,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,Africa Western and Central,,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Africa Western and Central,,0.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Africa Western and Central,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Africa Western and Central,,0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Africa Western and Central,,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Africa Western and Central,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Africa Western and Central,,1.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Africa Western and Central,,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Africa Western and Central,,1.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Africa Western and Central,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Africa Western and Central,,1.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Africa Western and Central,,1.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Africa Western and Central,,1.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Africa Western and Central,,1.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Africa Western and Central,,1.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Africa Western and Central,,1.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Africa Western and Central,,2.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Africa Western and Central,,2.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Africa Western and Central,,3.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Africa Western and Central,,4.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Africa Western and Central,,4.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Africa Western and Central,,4.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Africa Western and Central,,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Africa Western and Central,,4.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Africa Western and Central,,3.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Africa Western and Central,,3.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Africa Western and Central,,3.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Africa Western and Central,,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Africa Western and Central,,3.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Africa Western and Central,,4.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Africa Western and Central,,4.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Africa Western and Central,,4.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015,,,,-99,,,,
1960,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013,,,,-99,,,,
1961,Albania,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,1.435,,,,,,,,,,
1962,Albania,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,1.381,,,,,,,,,,
1963,Albania,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,
1964,Albania,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,
1965,Albania,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,1.055,,-0.011,,,,-99,,,,
1966,Albania,,,,,,25,,,,,,,,,,,,,1.869,,3640,,,,,,,,,,1.304,,,,,,,,,,
1967,Albania,,,,,,,,,,,,,,,,,,,2.24,,4478,,,,,,,,,,,,,,,,,,,,
1968,Albania,,,,,,,,,,,,,,,,,,,2.132,,4368,,,,,,,,,,,,,,,,,,,,
1969,Albania,,,,,,,,,,,,,,,,,,,1.654,,3474,,,,,,,,,,,,,,,,,,,,
1970,Albania,,,,,,,,,,,,,,,,,,,1.433,,3082,,,,,,,,,,,,-0.01,,,,-99,,,,
1971,Albania,,,,,,,,,,,,,,,,,,,1.215,,2676,,,,,,,,,,,,,,,,,,,,
1972,Albania,,,,,,,,,,,,,,,,,,,0.84,,1894,,,,,,,,,,,,,,,,,,,,
1973,Albania,,,,,,,,,,,,,,,,,,,0.48,,1108,,,,,,,,,,,,,,,,,,,,
1974,Albania,,,,,,,,,,,,,,,,,,,0.606,,1430,,,,,,,,,,,,,,,,,,,,
1975,Albania,,,,,,,,,,,,,,,,,,,0.566,,1366,,,,,,,,,,,,-0.009,,,,-99,,,,
1977,Albania,,,,,,,,,,,,,,,,,,,0.504,,1270,,,,,,,,,,,,,,,,,,,,
1978,Albania,,,,,,,,,,,,,,,,,,,0.595,,1530,,,,,,,,,,,,,,,,,,,,
1979,Albania,,,,,,,,,,,,,,,,,,,0.681,,1790,,,,,,,,,,,,,,,,,,,,
1980,Albania,,,,,,,,,,,,,,,,,,,0.641,,1719,,,,,,,,,,,,-0.008,,,,-99,,,,
1981,Albania,,,,,,,,,,,,,,,,,,,0.601,,1645,,,,,,,,,,,,,,,,,,,,
1982,Albania,,,,,,31,,,,,,,,,,,,,0.587,,1638,,,,,,,,,,1.125,,,,,,,,,,
1983,Albania,,,,,,38,,,,,,,,,,,,,0.569,,1619,,,,,,,,,,1.336,,,,,,,,,,
1984,Albania,,,,,,51,,,,,,,,,,,,,0.448,,1301,,,,,,,,,,1.784,,,,,,,,,,
1985,Albania,,,,,,58,,,,,,,,,,,,,0.336,,998,,,,,,,,,,1.973,,-0.007,,,,-99,,,,
1986,Albania,,,,,,59,,,,,,,,,,,,,0.246,,748,,,,,,,,,,1.938,,,,,,,,,,
1987,Albania,,,,,,59,,,,,,,,,,,,,0.162,,506,,,,,,,,,,1.894,,,,,,,,,,
1988,Albania,,,,,,70,,,,,,,,,,,,,0.173,,553,,,,,,,,,,2.212,,,,,,,,,,
1989,Albania,,,,,,339,,,,,,,,,,,,,0.382,,1243,,,,,,,,,,10.424,,,,,,,,,,
1990,Albania,,,,3000,,571,15681,,4.772,,,,,,,,,0.913,0.636,,2088,,180204,,,,2.009,66013,,,17.389,,-0.006,,10863,3.306,-99,,,5.484,
1991,Albania,,,,,,654,,,,,,,,,,,,,0.904,,2966,,,,,,,,,,19.943,,,,,,,,,,
1992,Albania,,,,,,680,,,,,,,,,,,,,1.201,,3897,,,,,,,,,,20.95,,,,,,,,,,
1993,Albania,,,,,,669,,,,,,,,,,,,,1.469,,4693,,,,,,,,,,20.956,,,,,,,,,,
1994,Albania,,20.538,,,,389,,,,,3729,,,,,,,,1.634,,5142,,,,,,,,,,12.382,,,,,,,,,,1.185
1995,Albania,,18.542,5341,4720,,150,23067,,7.41,1.716,3136,,,,,320862,,1.516,1.718,,5347,,501066,,,,2.292,71354,,,4.819,,-27.705,,17278,5.55,-443212,,103.074,16.096,1.008
1996,Albania,,16.9,,,,53,,,,,7003,,,,,,,,1.765,,5468,,,,,,,,,,1.736,,,,,,,,,,2.26
1997,Albania,,16.17,,,,22,,,,,7189,,,,,,,,1.846,,5721,,,,,,,,,,0.723,,,,,,,,,,2.319
1998,Albania,,16.034,,,,13,,,,,6349,,,,,,,,1.903,,5921,,,,,,,,,,0.424,,,,,,,,,,2.041
1999,Albania,,16.156,,,,8,,,,,5422,,,,,,,,2.014,,6289,,,,,,,,,,0.275,,,,,,,,,,1.736
2000,Albania,,16.871,5341,528,,7,31311,,10.006,1.707,5419,,,,,323376,,0.169,2.354,,7365,,824442,,,,2.451,76695,,,0.249,,-11.509,,24470,7.82,-179606,,103.34,26.346,1.732
2001,Albania,,16.078,,,,7,,,,,957,,,,,,,,2.675,,8371,,,,,,,,,,0.249,,,,,,,,,,0.306
2002,Albania,,16.774,,,,5,,125.533,,,180,,,,47,,,,2.946,,9208,,,,,3924,,,,1.523,0.16,,,,,,,,,,0.058
2003,Albania,,16.542,,,,,,124.291,,,87,,,,53,,,,3.333,,10392,,,,,3875,,,,1.7,,,,,,,,,,,0.028
2004,Albania,,16.033,,,,,,113.898,,,40,,,,44,,,,3.763,,11682,,,,,3536,,,,1.424,,,,,,,,,,,0.013
2005,Albania,,15.408,-11956,91,,,31628,92.918,10.246,-3.873,50,,,,38,141590,,0.029,4.081,,12598,,966032,,,2868,2.097,64739,,1.238,,,-11.375,,25818,8.364,-176774,,45.869,31.295,0.016
2006,Albania,,15.137,,,,,,75.932,,,56,,,,25,,,,4.415,,13522,,,,,2325,,,,0.816,,,,,,,,,,,0.018
2007,Albania,,14.758,,,,,,65.234,,,60,,,,22,,,,4.802,,14569,,,,,1979,,,,0.751,,,,,,,,,,,0.02
2008,Albania,,14.215,,,,,,57.775,,,65,,,,20,,,,4.989,,14980,,,,,1734,,,,0.679,,,,,,,,,,,0.022
2009,Albania,,13.567,,,,,,57.772,,,69,,,,20,,,,5.003,,14875,,,,,1717,,,,0.679,,,,,,,,,,,0.023
2010,Albania,,13.122,-11955,99,,,30062,72.353,10.197,-4.055,72,,,,22,151908,,0.034,4.858,,14321,,1117940,,,2133,1.79,52784,,0.767,,,-14.407,,25296,8.581,-217358,,51.529,37.922,0.025
2011,Albania,,12.232,,,,,,127.173,,,80,,,,64,,,,4.555,,13341,,,,,3724,,,,2.192,,,,,,,,,,,0.028
2012,Albania,,11.528,,,,,,220.542,,,89,,,125,156,,,,4.197,,12230,,,,,6426,,,,5.381,,0.004,,,,,,,,,0.031
2013,Albania,,11.135,,,,,,502.371,,,95,,,928,318,,,,3.911,,11357,,,,,14587,,,,10.979,,0.032,,7.949,,,,,,,0.033
2014,Albania,,10.929,,,,,,652.597,,,108,,,1544,863,,,,3.749,,10858,,,,,18901,,,,29.817,,0.053,,8.05,,,,,,,0.037
2015,Albania,,10.64,-753,934,,,27946,757.959,9.668,-0.261,116,,,2245,864,24904,,0.323,3.729,,10778,,1142844,,,21909,1.8,52031,,29.905,,0.078,-9.358,8.254,22662,7.84,-136590,,8.616,39.538,0.04
2016,Albania,,10.557,,,,,,837.333,,,123,,,2176,850,,,,3.97,,11460,,,,,24169,,,,29.469,,0.075,,8.236,,,,,,,0.043
2017,Albania,,10.322,,,,,,865.372,,,125,,,8720,755,,,,4.311,,12434,,,,,24958,,,,26.184,,0.302,,8.445,,,,,,,0.043
2018,Albania,,10.024,,,,,,695.638,,,124,,,,,,,,4.668,,13458,,,,,20053,,,,,,,,8.583,,,,,,,0.043
2019,Albania,,,,,,,,654.418,,,117,,1.111,,,,,,5.017,,14454,32000,,,,18853,,,,,,,,,,,,,,,0.041
2020,Albania,,,-3221,131,24000,,25682,,8.924,-1.119,,,,,,107607,,0.046,,8.34,,,1250451,,,,1.696,48810,,,,,-4.854,,20913,7.267,-69998,,37.392,43.452,
1955,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.721,,,,-359943,,,,
1960,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.684,,,,-191853,,,,
1965,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.794,,,,-282941,,,,
1970,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.796,,,,-121335,,,,
1972,Algeria,,3.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,Algeria,,2.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Algeria,,2.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Algeria,,1.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.262,,,,-253436,,,,
1976,Algeria,,1.566,,,,,,,,,33016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.932
1977,Algeria,,1.511,,,,,,,,,43316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.464
1978,Algeria,,1.361,,,,,,,,,49516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.735
1979,Algeria,,1.275,,,,,,,,,75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.022
1980,Algeria,,1.167,,,,,,,,,98000,,,,,,,,,,,,,,,,,,,,,,-2.51,,,,-224833,,,,5.098
1981,Algeria,,1.029,,,,,,,,,121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.104
1982,Algeria,,0.901,,,,,,,,,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.041
1983,Algeria,,0.817,,,,,,,,,168432,,,,,,,,0,,5,,,,,,,,,,,,,,,,,,,,7.982
1984,Algeria,,0.728,,,,,,,,,168476,,,,,,,,0,,5,,,,,,,,,,,,,,,,,,,,7.741
1985,Algeria,,0.65,,,,,,,,,168476,,,,,,,,0,,5,,,,,,,,,,,,-0.778,,,,-81020,,,,7.511
1986,Algeria,,0.617,,,,,,,,,169076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.319
1987,Algeria,,0.619,,,,,,,,,169496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.129
1988,Algeria,,0.624,,,,,,,,,168486,,,,,,,,0,,7,,,,,,,,,,,,,,,,,,,,6.893
1989,Algeria,,1.076,,,,,,,,,168867,,,,,,,,0.001,,17,,,,,,,,,,,,,,,,,,,,6.726
1990,Algeria,,1.509,,169107,,,70152,,2.723,,179330,,,,,,,6.565,0.001,,30,,921665,,,,1.064,273954,,,,,-0.774,,51399,1.995,-93302,,,3.578,6.962
1991,Algeria,,1.837,,,,,,,,,189143,,,,,,,,0.002,,46,,,,,,,,,,,,,,,,,,,,7.164
1992,Algeria,,2.369,,,,17,,,,,199137,,,,,,,,0.155,,4194,,,,,,,,,,0.065,,,,,,,,,,7.368
1993,Algeria,,2.792,,,,,,,,,203813,,,,,,,,0.163,,4494,,,,,,,,,,,,,,,,,,,,7.375
1994,Algeria,,2.603,,,,,,,,,208042,,,,,,,,0.175,,4932,,,,,,,,,,,,,,,,,,,,7.374
1995,Algeria,,2.464,-11922,192489,,,64917,,2.257,-0.415,198326,,,,,57976,,6.693,0.195,,5600,,979641,,,,0.911,262032,,,,,-0.944,,47792,1.662,-128679,,2.016,3.407,6.896
1996,Algeria,,2.447,,,,15,,,,,187558,,,,,,,,0.23,,6727,,,,,,,,,,0.053,,,,,,,,,,6.409
1997,Algeria,,2.116,,,,24,,,,,176793,,,,,,,,0.135,,4006,,,,,,,,,,0.082,,,,,,,,,,5.944
1998,Algeria,,1.868,,,,47,,,,,172226,,,,,,,,0.176,,5305,,,,,,,,,,0.157,,,,,,,,,,5.704
1999,Algeria,,1.738,,,,53,,,,,168056,,,,,,,,0.213,,6536,,,,,,,,,,0.175,,,,,,,,,,5.488
2000,Algeria,,1.675,-11922,167453,,52,59695,,1.923,-0.384,167755,,,,,58344,,5.394,0.266,,8271,,1037985,,,,0.806,250110,,,0.169,,-1.1,,44194,1.424,-164413,,1.88,3.344,5.404
2001,Algeria,,1.751,,,,52,,,,,168517,,,,,,,,0.301,,9458,,,,,,,,,,0.165,,,,,,,,,,5.358
2002,Algeria,,2.002,,,,43,,6.708,,,169277,,,,,,,,0.319,,10161,,,,,2137,,,,,0.137,,,,,,,,,,5.314
2003,Algeria,,1.747,,,,20,,6.041,,,154167,,,,,,,,0.34,,10962,,,,,1949,,,,,0.064,,,,,,,,,,4.778
2004,Algeria,,1.535,,,,,,5.219,,,139120,,,,,,,,0.335,,10950,,,,,1706,,,,,,,,,,,,,,,4.255
2005,Algeria,,1.172,-52382,94407,,12,45110,4.523,1.361,-1.58,124101,,,,648,561662,,2.848,0.321,,10653,,1599647,,,1499,0.596,197728,,1.955,0.039,,-1.279,,33617,1.014,-205228,,16.943,4.826,3.744
2006,Algeria,,0.669,,,,12,,4.226,,,109113,,,,766,,,,0.301,,10131,,,,,1421,,,,2.277,0.036,,,,,,,,,,3.243
2007,Algeria,,0.114,,,,,,4.28,,,94130,,,,775,,,,0.282,,9634,,,,,1462,,,,2.269,,,,,,,,,,,2.755
2008,Algeria,,0.105,,,,,,4.402,,,94137,,,,775,,,,0.247,,8563,,,,,1528,,,,2.233,,,,,,,,,,,2.711
2009,Algeria,,0.093,,,,,,4.696,,,94130,,,,749,,,,0.23,,8114,,,,,1659,,,,2.121,,,,,,,,,,,2.664
2010,Algeria,,0.099,19540,94448,,,47330,5.236,1.316,0.543,94129,,,5500,776,55617,,2.625,0.198,,7126,,1655264,,,1883,0.604,217268,,2.159,,0.015,-2.068,,35549,0.988,-357340,,1.546,4.601,2.616
2011,Algeria,,0.107,,,,,,6.646,,,94138,,,568,955,,0,,0.165,,6046,,,0,,2436,,,,2.607,,0.002,,,,,,,,,2.568
2012,Algeria,,0.315,,,,,,8.438,,,94135,,,966,1897,,0.001,,0.137,,5114,,,560,,3154,,,,5.075,,0.003,,,,,,,,,2.518
2013,Algeria,,0.531,,,,,,11.369,,,94142,,,4842,3151,,,,0.117,,4475,,,,,4336,,,,8.264,,0.013,,12.428,,,,,,,2.468
2014,Algeria,,0.759,,,,,,13.706,,,94157,,,5248,4130,,,,0.103,,3996,,,,,5335,,,,10.613,,0.013,,11.231,,,,,,,2.419
2015,Algeria,,0.949,22205,100775,,,45172,15.427,1.137,0.559,94181,,,5252,5057,181238,,2.537,0.092,,3669,,1836502,,,6128,0.603,239473,,12.729,,0.013,-0.757,10.284,31624,0.796,-143268,,4.562,4.623,2.371
2016,Algeria,,1.156,,,,,,16.673,,,94220,,,5825,6480,,,,0.093,,3778,,,,,6761,,,,15.98,,0.014,,9.844,,,,,,,2.323
2017,Algeria,,1.135,,,,,,17.595,,,95116,,,,5852,,,,0.096,,3980,,,,,7282,,,,14.139,,,,9.971,,,,,,,2.298
2018,Algeria,,1.129,,,,,,17.32,,,95811,,,6845,4962,,,,0.099,,4201,,,,,7313,,,,11.751,,0.016,,9.698,,,,,,,2.269
2019,Algeria,,,,,,,,16.559,,,96529,,,,4278,,,,0.103,,4454,,,,,7129,,,,9.938,,,,,,,,,,,2.242
2020,Algeria,,,10905,100270,34000,,39117,,0.892,0.249,,,0,,,185835,,2.287,,0.775,,23,2022337,,,,0.571,250378,,,,,-0.239,,25635,0.585,-50002,,4.238,4.612,
1990,American Samoa,,,,,,,6409,,136.049,,,,,,,,,,,,,,2041,,,,45.179,21283,,,,,,,4220,89.581,,,,4.333,
1995,American Samoa,,,1815,,,,5929,,,,,,,,,597,,,,,,,2638,,,,,23098,,,,,,,3848,,,,,,
2000,American Samoa,,,1814,,,,5449,,95.506,31.794,,,,,,548,,,,,,,3186,,,,43.664,24912,,,,,,,3477,60.942,,,9.605,5.584,
2005,American Samoa,,,-679,,,,5006,,78.126,-10.597,,,,,,-598,,,,,,,2588,,,,37.819,24233,,,,,,,3284,51.252,,,-9.333,4.039,
2010,American Samoa,,,-678,,,,4566,,64.221,-9.536,,,,,,-431,,,,,,,2157,,,,33.13,23555,,,,,,,3093,43.503,,,-6.062,3.034,
2015,American Samoa,,,-42,,,,3364,,43.424,-0.542,,,,,,-196,,,,,,,1961,,,,30.352,23513,,,,,,,1984,25.611,,,-2.53,2.531,
2020,American Samoa,,,95,,2000,,2334,,,,,,,,,-129,,,,,,11,1832,,,,,23608,,,,,,,1143,,,,,,
1990,Andorra,,,,,,,6510,,119.432,,,,,,,,,,,,,,3740,,,,71.349,38891,,,,,,,4583,84.079,,,,6.861,
1995,Andorra,,,5315,,,,6605,,103.429,83.229,,,,,,402,,,,,,,4142,,,,69.223,44206,,,,,,,4046,63.357,,,6.295,6.486,
2000,Andorra,,,-2059,,,,3471,,53.082,-31.488,,,,,,1433,,,,,,,5575,,,,64.455,42147,,,,,,,2089,31.947,,,21.915,8.526,
2003,Andorra,,,,,,,,7.379,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
2004,Andorra,,,,,,,,6.557,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
2005,Andorra,,,8151,,,,4169,6.339,52.858,103.346,,,,,,152,,,0.117,,9,,5727,,,5,63.772,50298,,,,,,,2683,34.018,,,1.927,7.261,
2006,Andorra,,,,,,,,,,,,,,,,,,,0.104,,8,,,,,,,,,,,,,,,,,,,,
2007,Andorra,,,,,,,,6.047,,,,,,,,,,,0.097,,8,,,,,5,,,,,,,,,,,,,,,
2008,Andorra,,,,,,,,5.962,,,,,,,,,,,0.083,,7,,,,,5,,,,,,,,,,,,,,,
2009,Andorra,,,,,,,,,,,,,,,,,,,0.071,,6,,,,,,,,,,,,,,,,,,,,
2010,Andorra,,,1755,,,,3687,,43.657,20.781,,,,,,2182,,,0.062,,5,,7909,,,,61.635,52053,,,,,,,2416,28.607,,,25.837,9.365,
2011,Andorra,,,,,,,,,,,,,,,,,,,0.062,,5,,,,,,,,,,,,,,,,,,,,
2012,Andorra,,,,,,,,,,,,,,,,,,,0.063,,5,,,,,,,,,,,,,,,,,,,,
2013,Andorra,,,,,,,,,,,,,,,,,,,0.064,,5,,,,,,,,,,,,,,,,,,,,
2015,Andorra,,,-9789,,,,3389,6.411,43.453,-125.511,,,,,,831,,,,,,,8740,,,5,54.189,42264,,,,,,,2292,29.387,,,10.655,11.206,
2016,Andorra,,,,,,,,6.469,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
2017,Andorra,,,,,,,,6.494,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
2020,Andorra,,,3310,,3000,,3371,,43.629,42.84,,,,,,2392,,,,38.827,,,11132,,,,58.984,45574,,,,,,,2114,27.36,,,30.958,14.408,
1955,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
1960,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.587,,,,-172887,,,,
1962,Angola,,,,,,,,,,,,,,,,,,,30.133,,169000,,,,,,,,,,,,,,,,,,,,
1963,Angola,,,,,,,,,,,,,,,,,,,32.222,,183000,,,,,,,,,,,,,,,,,,,,
1964,Angola,,,,,,,,,,,,,,,,,,,37.273,,213760,,,,,,,,,,,,,,,,,,,,
1965,Angola,,,,,,,,,,,,,,,,,,,43.497,,251000,,,,,,,,,,,,-10.573,,,,-296717,,,,
1966,Angola,,,,,,,,,,,,,,,,,,,50.555,,292272,,,,,,,,,,,,,,,,,,,,
1967,Angola,,,,,,,,,,,,,,,,,,,57.826,,333910,,,,,,,,,,,,,,,,,,,,
1968,Angola,,,,,,,,,,,,,,,,,,,64.577,,372734,,,,,,,,,,,,,,,,,,,,
1969,Angola,,,,,,,,,,,,,,,,,,,68.217,,395912,,,,,,,,,,,,,,,,,,,,
1970,Angola,,,,,,,,,,,,,,,,,,,69.431,,408972,,,,,,,,,,,,-20.145,,,,-587286,,,,
1971,Angola,,,,,,,,,,,,,,,,,,,69.193,,418010,,,,,,,,,,,,,,,,,,,,
1972,Angola,,,,,,,,,,,,,,,,,,,69.748,,435850,,,,,,,,,,,,,,,,,,,,
1973,Angola,,,,,,,,,,,,,,,,,,,69.782,,453392,,,,,,,,,,,,,,,,,,,,
1974,Angola,,,,,,,,,,,,,,,,,,,69.405,,469292,,,,,,,,,,,,,,,,,,,,
1975,Angola,,,,,,,,,,,,,,,,,,,69.897,,490958,,,,,,,,,,,,6.188,,,,199800,,,,
1976,Angola,,,,,,,,,,,,,,,,,,,73.475,,534870,,,,,,,,,,,,,,,,,,,,
1977,Angola,,,,,,,,,,,,,,,,,,,75.126,,565988,,,,,,,,,,,,,,,,,,,,
1978,Angola,,,,,,271,,,,,105510,,,,,,,,71.293,,555428,,,,,,,,,,3.478,,,,,,,,,,13.543
1979,Angola,,,,,,,,,,,121850,,,,,,,,67.882,,547002,,,,,,,,,,,,,,,,,,,,15.121
1980,Angola,,,,,,,,,,,94106,,,,,,,,64.045,,534214,,,,,,,,,,,,5.201,,,,199800,,,,11.282
1981,Angola,,,,,,,,,,,85052,,,,,,,,53.772,,464614,,,,,,,,,,,,,,,,,,,,9.843
1982,Angola,,,,,,188,,,,,90304,,,,,,,,45.301,,405582,,,,,,,,,,2.109,,,,,,,,,,10.086
1983,Angola,,,,,,94,,,,,93608,,,,,,,,40.876,,379254,,,,,,,,,,1.013,,,,,,,,,,10.089
1984,Angola,,,,,,58,,,,,93718,,,,,,,,37.331,,358925,,,,,,,,,,0.605,,,,,,,,,,9.747
1985,Angola,,,,,,42,,,,,92704,,,,,,,,34.541,,344093,,,,,,,,,,0.424,,5.117,,,,234148,,,,9.306
1986,Angola,,,,,,42,,,,,91518,,,,,,,,35.463,,365984,,,,,,,,,,0.415,,,,,,,,,,8.868
1987,Angola,,,,,,30,,,,,75645,,,,,,,,35.19,,376159,,,,,,,,,,0.283,,,,,,,,,,7.077
1988,Angola,,,,,,29,,,,,59653,,,,,,,,35.619,,394232,,,,,,,,,,0.264,,,,,,,,,,5.39
1989,Angola,,,,,,34,,,,,43407,,,,,,,,34.874,,399477,,,,,,,,,,0.3,,,,,,,,,,3.789
1990,Angola,,,,12000,,28,11684,,0.986,,27366,,,,,,,1.013,32.176,,381230,,824886,,,,0.283,33517,,,0.243,,3.457,,7345,0.62,188491,,,6.962,2.31
1991,Angola,,,,,,27,,,,,11470,,,,,,,,29.756,,364481,,,,,,,,,,0.224,,,,,,,,,,0.936
1992,Angola,,,,,,24,,,,,11027,,,,,,,,26.803,,339256,,,,,,,,,,0.196,,,,,,,,,,0.871
1993,Angola,,,,,,,,,,,10891,,,,,,,,23.483,,307035,,,,,,,,,,,,,,,,,,,,0.833
1994,Angola,,,,,,13,,,,,10563,,,,,,,,20.783,,280645,,,,,,,,,,0.099,,,,,,,,,,0.782
1995,Angola,,,6296,11404,,9,13033,,0.935,0.451,10235,,,,,-136305,,0.818,19.654,,274083,,688581,,,,0.285,39813,,,0.066,,2.215,,8293,0.595,142812,,-9.774,4.938,0.734
